,GNomexID,run,number,plate,well,sample_type,samp_date,sac_day,day,infection_status,mouse,cage,ear,sex,treatment,microb,DOB,moved_to_SB,moved_from_bubble,age,location,out_of_bubble,PlatePosition,breeding,sample_group,description,LanePosition,RawReads1st,RerunReads,lane,Nanostring_sample,metabolomics_sample,Observed,sum,Shannon,PD,SR,row,cage_day
10_RLP_D10,19266X32,19266,32,2,57,sample,5/10/21,D41,D10,infected,10_RLP,10,RLP,F,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,A8,NA,exp,NA,32,37299,NA,Original_Lane1,NA,NA,92,15789,2.812334294,6.376915113,92,10_RLP_D10,10D10
10_RLP_D14,19266X195,19266,195,3,23,sample,5/15/21,D41,D14,infected,10_RLP,10,RLP,F,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,G3,NA,exp,NA,195,5392,11156,Rerun,NA,NA,62,4979,1.963302715,5.178311362,62,10_RLP_D14,10D14
10_RLP_D28,19266X178,19266,178,3,77,sample,5/28/21,D41,D28,cleared,10_RLP,10,RLP,F,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,E10,NA,exp,NA,178,6584,NA,Original_Lane1,NA,NA,65,2957,2.280585385,5.409484286,65,10_RLP_D28,10D28
10_RLP_D31,19267X122,19267,122,4,13,sample,5/31/21,D41,D31,cleared,10_RLP,10,RLP,F,worm,LO,2/1/21,3/23/21,3/10/21,119,SouthBio,82,E2,NA,exp,NA,122,11427,NA,Original_Lane2,NA,NA,72,5710,1.899486455,5.448963103,72,10_RLP_D31,10D31
10_RLP_D41,19267X126,19267,126,4,45,sample,6/10/21,D41,D41,cleared,10_RLP,10,RLP,F,worm,LO,2/1/21,3/23/21,3/10/21,129,SouthBio,92,E6,NA,exp,NA,126,322,51254,Rerun,11,23,94,21895,3.012169147,6.440774662,94,10_RLP_D41,10D41
10_RLP_pre,19267X64,19267,64,1,64,sample,4/24/21,D41,D-5,pretreat,10_RLP,10,RLP,F,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,F4,NA,exp,NA,64,44601,NA,Original_Lane2,NA,NA,28,19853,2.048900778,2.90820436,28,10_RLP_pre,10D-5
10_RP_D1,19267X48,19267,48,1,48,sample,5/1/21,D14,D1,infected,10_RP,10,RP,F,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,D12,NA,exp,NA,48,62903,NA,Original_Lane2,NA,NA,26,31408,1.801614555,2.857089116,26,10_RP_D1,10D1
10_RP_D10,19266X44,19266,44,2,58,sample,5/10/21,D14,D10,infected,10_RP,10,RP,F,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,B8,NA,exp,NA,44,44057,NA,Original_Lane1,NA,NA,88,19489,2.39236497,6.880664068,88,10_RP_D10,10D10
10_RP_D14,19266X207,19266,207,3,24,sample,5/14/21,D14,D14,infected,10_RP,10,RP,F,worm,LO,2/1/21,3/23/21,3/10/21,102,SouthBio,65,H3,NA,exp,NA,207,3939,54081,Rerun,12,8,87,29530,1.936045105,6.467862096,87,10_RP_D14,10D14
10_RP_pre,19266X4,19266,4,1,76,sample,4/24/21,D14,D-5,pretreat,10_RP,10,RP,F,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,G4,NA,exp,NA,4,96888,NA,Original_Lane1,NA,NA,27,41954,1.910364435,2.977034601,27,10_RP_pre,10D-5
10_RRP_D1,19267X60,19267,60,1,60,sample,5/1/21,D41,D1,infected,10_RRP,10,RRP,F,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,E12,NA,exp,NA,60,64114,NA,Original_Lane2,NA,NA,29,32875,1.974259371,3.301315954,29,10_RRP_D1,10D1
10_RRP_D10,19266X56,19266,56,2,59,sample,5/10/21,D41,D10,infected,10_RRP,10,RRP,F,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,C8,NA,exp,NA,56,48854,NA,Original_Lane1,NA,NA,91,19790,2.779431291,6.791826286,91,10_RRP_D10,10D10
10_RRP_D14,19266X124,19266,124,3,25,sample,5/15/21,D41,D14,infected,10_RRP,10,RRP,F,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,A4,NA,exp,NA,124,9386,NA,Original_Lane1,NA,NA,58,3996,2.378936188,4.745431124,58,10_RRP_D14,10D14
10_RRP_D28,19266X190,19266,190,3,78,sample,5/28/21,D41,D28,cleared,10_RRP,10,RRP,F,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,F10,NA,exp,NA,190,4668,NA,Original_Lane1,NA,NA,58,2127,2.204804468,4.962117201,58,10_RRP_D28,10D28
10_RRP_D41,19267X137,19267,137,4,46,sample,6/10/21,D41,D41,cleared,10_RRP,10,RRP,F,worm,LO,2/1/21,3/23/21,3/10/21,129,SouthBio,92,F6,NA,exp,NA,137,137,13557,Rerun,NA,NA,68,4605,2.853586242,5.259440951,68,10_RRP_D41,10D41
10_RRP_pre,19266X16,19266,16,1,88,sample,4/24/21,D41,D-5,pretreat,10_RRP,10,RRP,F,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,H4,NA,exp,NA,16,23570,NA,Original_Lane1,NA,NA,22,8316,2.304941966,2.822006585,22,10_RRP_pre,10D-5
11_RLP_D1,19267X72,19267,72,1,72,sample,5/1/21,D41,D1,infected,11_RLP,11,RLP,F,control,LO,1/9/21,3/23/21,2/10/21,112,SouthBio,80,F12,NA,exp,NA,72,59672,NA,Original_Lane2,NA,NA,81,28328,2.831167959,6.117976621,81,11_RLP_D1,11D1
11_RLP_D10,19266X68,19266,68,2,60,sample,5/10/21,D41,D10,infected,11_RLP,11,RLP,F,control,LO,1/9/21,3/23/21,2/10/21,121,SouthBio,89,D8,NA,exp,NA,68,59434,NA,Original_Lane1,NA,NA,89,26260,2.227322839,7.047460312,89,11_RLP_D10,11D10
11_RLP_D14,19266X136,19266,136,3,26,sample,5/15/21,D41,D14,infected,11_RLP,11,RLP,F,control,LO,1/9/21,3/23/21,2/10/21,126,SouthBio,94,B4,NA,exp,NA,136,15701,NA,Original_Lane1,NA,NA,75,5409,2.93919321,5.797595605,75,11_RLP_D14,11D14
11_RLP_D28,19266X202,19266,202,3,79,sample,5/28/21,D41,D28,cleared,11_RLP,11,RLP,F,control,LO,1/9/21,3/23/21,2/10/21,139,SouthBio,107,G10,NA,exp,NA,202,3009,24589,Rerun,NA,NA,89,12109,2.30394797,6.947196162,89,11_RLP_D28,11D28
11_RLP_D31,19267X133,19267,133,4,14,sample,5/31/21,D41,D31,cleared,11_RLP,11,RLP,F,control,LO,1/9/21,3/23/21,2/10/21,142,SouthBio,110,F2,NA,exp,NA,133,8060,NA,Original_Lane2,NA,NA,57,3284,2.094474633,4.946667026,57,11_RLP_D31,11D31
11_RLP_D41,19267X148,19267,148,4,47,sample,6/10/21,D41,D41,cleared,11_RLP,11,RLP,F,control,LO,1/9/21,3/23/21,2/10/21,152,SouthBio,120,G6,NA,exp,NA,148,133,45062,Rerun,NA,26,88,14503,3.088775698,6.335983718,88,11_RLP_D41,11D41
11_RLP_pre,19267X5,19267,5,1,5,sample,4/24/21,D41,D-5,pretreat,11_RLP,11,RLP,F,control,LO,1/9/21,3/23/21,2/10/21,105,SouthBio,73,A5,NA,exp,NA,5,41757,NA,Original_Lane2,NA,NA,82,20312,2.3263457,6.07655414,82,11_RLP_pre,11D-5
11_RRP_D1,19266X12,19266,12,1,84,sample,5/1/21,D41,D1,infected,11_RRP,11,RRP,F,control,LO,1/9/21,3/23/21,2/10/21,112,SouthBio,80,G12,NA,exp,NA,12,107232,NA,Original_Lane1,NA,NA,83,47298,3.187662446,6.241300111,83,11_RRP_D1,11D1
11_RRP_D10,19266X80,19266,80,2,61,sample,5/10/21,D41,D10,infected,11_RRP,11,RRP,F,control,LO,1/9/21,3/23/21,2/10/21,121,SouthBio,89,E8,NA,exp,NA,80,57449,NA,Original_Lane1,NA,NA,86,22879,1.924969549,6.616811139,86,11_RRP_D10,11D10
11_RRP_D14,19266X148,19266,148,3,27,sample,5/15/21,D41,D14,infected,11_RRP,11,RRP,F,control,LO,1/9/21,3/23/21,2/10/21,126,SouthBio,94,C4,NA,exp,NA,148,10605,NA,Original_Lane1,NA,NA,71,4102,2.531203828,5.591794643,71,11_RRP_D14,11D14
11_RRP_D28,19266X214,19266,214,3,80,sample,5/28/21,D41,D28,cleared,11_RRP,11,RRP,F,control,LO,1/9/21,3/23/21,2/10/21,139,SouthBio,107,H10,NA,exp,NA,214,3052,55786,Rerun,NA,NA,87,31103,2.556904258,6.501539243,87,11_RRP_D28,11D28
11_RRP_D41,19267X159,19267,159,4,48,sample,6/10/21,D41,D41,cleared,11_RRP,11,RRP,F,control,LO,1/9/21,3/23/21,2/10/21,152,SouthBio,120,H6,NA,exp,NA,159,137,48058,Rerun,NA,25,87,18749,2.85098308,6.666439115,87,11_RRP_D41,11D41
11_RRP_pre,19267X17,19267,17,1,17,sample,4/24/21,D41,D-5,pretreat,11_RRP,11,RRP,F,control,LO,1/9/21,3/23/21,2/10/21,105,SouthBio,73,B5,NA,exp,NA,17,28017,NA,Original_Lane2,NA,NA,68,15874,2.227288347,5.595897069,68,11_RRP_pre,11D-5
12_LP_D1,19266X25,19266,25,2,1,sample,5/1/21,D41,D1,infected,12_LP,12,LP,M,control,LO,1/3/21,4/16/21,2/10/21,118,SouthBio,80,A1,NA,exp,NA,25,59676,NA,Original_Lane1,NA,NA,31,26630,1.851933055,3.636549487,31,12_LP_D1,12D1
12_LP_D10,19266X92,19266,92,2,62,sample,5/10/21,D41,D10,infected,12_LP,12,LP,M,control,LO,1/3/21,4/16/21,2/10/21,127,SouthBio,89,F8,NA,exp,NA,92,34312,NA,Original_Lane1,NA,NA,51,14181,2.404282336,5.382373066,51,12_LP_D10,12D10
12_LP_D14,19266X160,19266,160,3,28,sample,5/15/21,D41,D14,infected,12_LP,12,LP,M,control,LO,1/3/21,4/16/21,2/10/21,132,SouthBio,94,D4,NA,exp,NA,160,13997,NA,Original_Lane1,NA,NA,39,6219,1.91220195,4.400614589,39,12_LP_D14,12D14
12_LP_D28,19266X131,19266,131,3,81,sample,5/28/21,D41,D28,cleared,12_LP,12,LP,M,control,LO,1/3/21,4/16/21,2/10/21,145,SouthBio,107,A11,NA,exp,NA,131,8379,NA,Original_Lane1,NA,NA,45,3894,2.245511347,5.185920299,45,12_LP_D28,12D28
12_LP_D31,19267X149,19267,149,4,55,sample,5/31/21,D41,D31,cleared,12_LP,12,LP,M,control,LO,1/3/21,4/16/21,2/10/21,148,SouthBio,110,G7,NA,exp,NA,149,3001,52912,Rerun,NA,NA,42,25678,1.960850982,4.889888388,42,12_LP_D31,12D31
12_LP_D41,19267X79,19267,79,4,49,sample,6/10/21,D41,D41,cleared,12_LP,12,LP,M,control,LO,1/3/21,4/16/21,2/10/21,158,SouthBio,120,A7,NA,exp,NA,79,5089,34677,Rerun,NA,28,49,18627,2.441716768,4.574172238,49,12_LP_D41,12D41
12_LP_pre,19267X29,19267,29,1,29,sample,4/24/21,D41,D-5,pretreat,12_LP,12,LP,M,control,LO,1/3/21,4/16/21,2/10/21,111,SouthBio,73,C5,NA,exp,NA,29,28317,NA,Original_Lane2,NA,NA,18,13432,1.803125228,2.69635762,18,12_LP_pre,12D-5
12_RP_D1,19266X37,19266,37,2,2,sample,5/1/21,D41,D1,infected,12_RP,12,RP,M,control,LO,1/3/21,4/16/21,2/10/21,118,SouthBio,80,B1,NA,exp,NA,37,87135,NA,Original_Lane1,NA,NA,42,41955,1.802813553,4.3684847,42,12_RP_D1,12D1
12_RP_D10,19266X104,19266,104,2,63,sample,5/10/21,D41,D10,infected,12_RP,12,RP,M,control,LO,1/3/21,4/16/21,2/10/21,127,SouthBio,89,G8,NA,exp,NA,104,74886,NA,Original_Lane1,NA,NA,60,30441,2.119819215,5.62735336,60,12_RP_D10,12D10
12_RP_D14,19266X172,19266,172,3,29,sample,5/15/21,D41,D14,infected,12_RP,12,RP,M,control,LO,1/3/21,4/16/21,2/10/21,132,SouthBio,94,E4,NA,exp,NA,172,9737,66104,Rerun,NA,NA,48,31676,2.180168654,4.96234535,48,12_RP_D14,12D14
12_RP_D28,19266X143,19266,143,3,82,sample,5/28/21,D41,D28,cleared,12_RP,12,RP,M,control,LO,1/3/21,4/16/21,2/10/21,145,SouthBio,107,B11,NA,exp,NA,143,13199,NA,Original_Lane1,NA,NA,48,5904,2.425312715,5.55132494,48,12_RP_D28,12D28
12_RP_D41,19267X91,19267,91,4,50,sample,6/10/21,D41,D41,cleared,12_RP,12,RP,M,control,LO,1/3/21,4/16/21,2/10/21,158,SouthBio,120,B7,NA,exp,NA,91,7223,NA,Original_Lane2,NA,27,45,3415,2.360855597,4.496043986,45,12_RP_D41,12D41
12_RP_pre,19267X41,19267,41,1,41,sample,4/24/21,D41,D-5,pretreat,12_RP,12,RP,M,control,LO,1/3/21,4/16/21,2/10/21,111,SouthBio,73,D5,NA,exp,NA,41,32013,NA,Original_Lane2,NA,NA,17,16737,1.743963789,2.599544778,17,12_RP_pre,12D-5
13_RP1_D1,19266X49,19266,49,2,3,sample,5/1/21,D41,D1,infected,13_RP1,13,RP1,F,control,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,C1,NA,exp,NA,49,75843,NA,Original_Lane1,NA,NA,42,32517,1.839015292,4.638858695,42,13_RP1_D1,13D1
13_RP1_D10,19266X116,19266,116,2,64,sample,5/10/21,D41,D10,infected,13_RP1,13,RP1,F,control,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,H8,NA,exp,NA,116,43707,NA,Original_Lane1,NA,NA,47,18281,2.285756459,4.895456509,47,13_RP1_D10,13D10
13_RP1_D14,19266X184,19266,184,3,30,sample,5/15/21,D41,D14,infected,13_RP1,13,RP1,F,control,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,F4,NA,exp,NA,184,6473,23191,Rerun,NA,NA,43,11723,2.388078046,4.268470854,43,13_RP1_D14,13D14
13_RP1_D28,19266X155,19266,155,3,83,sample,5/28/21,D41,D28,cleared,13_RP1,13,RP1,F,control,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,C11,NA,exp,NA,155,10121,NA,Original_Lane1,NA,NA,41,4898,2.022193486,4.498573535,41,13_RP1_D28,13D28
13_RP1_D31,19267X144,19267,144,4,15,sample,5/31/21,D41,D31,cleared,13_RP1,13,RP1,F,control,LO,1/18/21,3/23/21,2/25/21,133,SouthBio,95,G2,NA,exp,NA,144,9024,NA,Original_Lane2,NA,NA,61,4006,2.202309219,5.544782319,61,13_RP1_D31,13D31
13_RP1_D41,19267X103,19267,103,4,51,sample,6/10/21,D41,D41,cleared,13_RP1,13,RP1,F,control,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,C7,NA,exp,NA,103,7508,45908,Rerun,NA,29,52,19980,2.463866422,5.053766044,52,13_RP1_D41,13D41
13_RP1_pre,19267X53,19267,53,1,53,sample,4/24/21,D41,D-5,pretreat,13_RP1,13,RP1,F,control,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,E5,NA,exp,NA,53,45411,NA,Original_Lane2,NA,NA,35,24025,1.745840026,4.062382457,35,13_RP1_pre,13D-5
13_RP2_D1,19266X61,19266,61,2,4,sample,5/1/21,D41,D1,infected,13_RP2,13,RP2,F,control,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,D1,NA,exp,NA,61,109826,NA,Original_Lane1,NA,NA,49,46272,1.955532039,5.364475208,49,13_RP2_D1,13D1
13_RP2_D10,19266X33,19266,33,2,65,sample,5/10/21,D41,D10,infected,13_RP2,13,RP2,F,control,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,A9,NA,exp,NA,33,116816,NA,Original_Lane1,NA,NA,53,51895,1.885715917,5.572349936,53,13_RP2_D10,13D10
13_RP2_D14,19266X196,19266,196,3,31,sample,5/15/21,D41,D14,infected,13_RP2,13,RP2,F,control,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,G4,NA,exp,NA,196,4631,25138,Rerun,NA,NA,43,14160,2.263506485,4.379449437,43,13_RP2_D14,13D14
13_RP2_D28,19266X167,19266,167,3,84,sample,5/28/21,D41,D28,cleared,13_RP2,13,RP2,F,control,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,D11,NA,exp,NA,167,17652,NA,Original_Lane1,NA,NA,46,8247,1.919525166,5.005941741,46,13_RP2_D28,13D28
13_RP2_D41,19267X115,19267,115,4,52,sample,6/10/21,D41,D41,cleared,13_RP2,13,RP2,F,control,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,D7,NA,exp,NA,115,7041,10438,Rerun,NA,30,43,4555,2.315827779,4.376293419,43,13_RP2_D41,13D41
13_RP2_pre,19267X65,19267,65,1,65,sample,4/24/21,D41,D-5,pretreat,13_RP2,13,RP2,F,control,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,F5,NA,exp,NA,65,33453,NA,Original_Lane2,NA,NA,36,17232,1.776881703,4.030361815,36,13_RP2_pre,13D-5
14_LP_D1,19266X73,19266,73,2,5,sample,5/1/21,D14,D1,infected,14_LP,14,LP,F,worm,HI,12/21/20,4/16/21,4/10/21,131,SouthBio,21,E1,NA,exp,NA,73,100577,NA,Original_Lane1,NA,NA,334,27213,4.413683328,14.75791494,334,14_LP_D1,14D1
14_LP_D10,19266X45,19266,45,2,66,sample,5/10/21,D14,D10,infected,14_LP,14,LP,F,worm,HI,12/21/20,4/16/21,4/10/21,140,SouthBio,30,B9,NA,exp,NA,45,118672,NA,Original_Lane1,NA,NA,299,38544,3.6688681,13.97532613,299,14_LP_D10,14D10
14_LP_D14,19266X208,19266,208,3,32,sample,5/14/21,D14,D14,infected,14_LP,14,LP,F,worm,HI,12/21/20,4/16/21,4/10/21,116,SouthBio,78,H4,NA,exp,NA,208,3511,57258,Rerun,13,9,202,15906,3.417678084,12.00248969,202,14_LP_D14,14D14
14_LP_pre,19266X5,19266,5,1,77,sample,4/24/21,D14,D-5,pretreat,14_LP,14,LP,F,worm,HI,12/21/20,4/16/21,4/10/21,124,SouthBio,14,G5,NA,exp,NA,5,59943,NA,Original_Lane1,NA,NA,256,22973,3.957004358,13.28494666,256,14_LP_pre,14D-5
14_RLP_D1,19266X85,19266,85,2,6,sample,5/1/21,D41,D1,infected,14_RLP,14,RLP,F,worm,HI,12/21/20,4/16/21,4/10/21,131,SouthBio,21,F1,NA,exp,NA,85,62523,NA,Original_Lane1,NA,NA,224,19201,3.65263036,12.57665627,224,14_RLP_D1,14D1
14_RLP_D10,19266X57,19266,57,2,67,sample,5/10/21,D41,D10,infected,14_RLP,14,RLP,F,worm,HI,12/21/20,4/16/21,4/10/21,140,SouthBio,30,C9,NA,exp,NA,57,134912,NA,Original_Lane1,NA,NA,271,42334,3.135348221,14.31807524,271,14_RLP_D10,14D10
14_RLP_D14,19266X125,19266,125,NA,NA,sample,5/14/21,D41,D14,infected,14_RLP,14,RLP,F,worm,HI,12/21/20,4/16/21,4/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,8517,Rerun,NA,NA,101,2853,3.109498371,8.653098891,101,14_RLP_D14,14D14
14_RLP_D28,19266X179,19266,179,3,85,sample,5/28/21,D41,D28,cleared,14_RLP,14,RLP,F,worm,HI,12/21/20,4/16/21,4/10/21,158,SouthBio,48,E11,NA,exp,NA,179,12388,NA,Original_Lane1,NA,NA,107,4318,3.355154228,8.307403839,107,14_RLP_D28,14D28
14_RLP_D41,19267X127,19267,127,4,53,sample,6/10/21,D41,D41,cleared,14_RLP,14,RLP,F,worm,HI,12/21/20,4/16/21,4/10/21,171,SouthBio,61,E7,NA,exp,NA,127,6513,45359,Rerun,NA,NA,193,15220,3.540416235,11.59787349,193,14_RLP_D41,14D41
14_RLP_pre,19266X17,19266,17,1,89,sample,4/24/21,D41,D-5,pretreat,14_RLP,14,RLP,F,worm,HI,12/21/20,4/16/21,4/10/21,124,SouthBio,14,H5,NA,exp,NA,17,15319,NA,Original_Lane1,NA,NA,176,4371,3.920160746,10.58289287,176,14_RLP_pre,14D-5
14_RP_D1,19266X97,19266,97,2,7,sample,5/1/21,D41,D1,infected,14_RP,14,RP,F,worm,HI,12/21/20,4/16/21,4/10/21,131,SouthBio,21,G1,NA,exp,NA,97,122663,NA,Original_Lane1,NA,NA,268,34653,3.404357041,14.15861079,268,14_RP_D1,14D1
14_RP_D10,19266X69,19266,69,2,68,sample,5/10/21,D41,D10,infected,14_RP,14,RP,F,worm,HI,12/21/20,4/16/21,4/10/21,140,SouthBio,30,D9,NA,exp,NA,69,183885,NA,Original_Lane1,NA,NA,237,55059,3.232126909,13.24219195,237,14_RP_D10,14D10
